Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
77,4.3633193744311265e-11,1.999854713280933e-11,2.0324791345875337e-11,2.956333286672776e-11
78,1.818049739346303e-12,4.726929322300387e-11,2.217249965004582e-11,3.1411041170898246e-11
79,7.454003931319842e-11,1.272634817542412e-11,4.619270760426212e-11,4.0649582691750674e-11
80,0.0,6.36317408771206e-11,2.0324791345875337e-11,2.5867916258386792e-11
81,3.454294504757975e-11,0.0,1.847708304170485e-11,1.108624982502291e-11
82,2.908879582954085e-11,5.090539270169648e-11,1.108624982502291e-11,7.39083321668194e-11
83,4.9087342962350176e-11,1.4544397914770424e-11,9.053770690435376e-11,3.1411041170898246e-11
84,0.0,6.18136911377743e-11,1.847708304170485e-11,1.6629374737534367e-11
85,5.635954191973538e-11,3.090684556888715e-11,3.510645777923922e-11,1.108624982502291e-11
86,1.818049739346303e-12,7.454003931319842e-11,3.510645777923922e-11,5.1735832516773583e-11
87,6.18136911377743e-11,2.3634646611501934e-11,4.0649582691750674e-11,0.0
88,0.0,3.8179044526272353e-11,3.69541660834097e-12,4.249729099592116e-11
89,8.726638748862253e-11,1.6362447654116724e-11,8.129916538350135e-11,1.108624982502291e-11
90,5.454149218038908e-12,3.8179044526272353e-11,2.7715624562557275e-11,5.1735832516773583e-11
91,5.454149218038908e-11,2.908879582954085e-11,9.238541520852425e-12,4.434499930009164e-11
92,0.0,4.726929322300387e-11,2.956333286672776e-11,3.325874947506873e-11
93,6.54497906164669e-11,2.3634646611501934e-11,3.510645777923922e-11,2.7715624562557275e-11
94,0.0,6.18136911377743e-11,1.847708304170485e-11,7.39083321668194e-11
95,8.181223827058362e-11,1.8180497393463026e-11,6.466979064596698e-11,1.108624982502291e-11
96,2.1816596872155632e-11,1.0362883514273926e-10,0.0,5.1735832516773583e-11
97,3.8179044526272353e-11,5.454149218038908e-12,6.282208234179649e-11,2.217249965004582e-11
98,2.727074609019454e-11,4.726929322300387e-11,2.4020207954216305e-11,7.575604047098989e-11
99,4.3633193744311265e-11,0.0,4.434499930009164e-11,1.847708304170485e-11
100,2.908879582954085e-11,7.454003931319842e-11,2.7715624562557275e-11,4.249729099592116e-11
101,3.090684556888715e-11,1.999854713280933e-11,9.238541520852425e-12,3.69541660834097e-11
102,2.545269635084824e-11,3.454294504757975e-11,4.619270760426212e-11,3.69541660834097e-11
103,1.4544397914770424e-11,0.0,4.804041590843261e-11,3.69541660834097e-12
104,5.090539270169648e-11,5.454149218038908e-11,2.7715624562557275e-11,2.5867916258386792e-11
105,6.18136911377743e-11,1.0908298436077816e-11,5.1735832516773583e-11,3.325874947506873e-11
106,0.0,2.1816596872155632e-11,2.5867916258386792e-11,3.510645777923922e-11
107,6.36317408771206e-11,3.8179044526272353e-11,4.619270760426212e-11,7.39083321668194e-12
108,3.636099478692606e-12,4.726929322300387e-11,0.0,8.314687368767184e-11
109,4.726929322300387e-11,7.27219895738521e-11,2.7715624562557275e-11,3.1411041170898246e-11
110,2.545269635084824e-11,2.1816596872155632e-11,5.1735832516773583e-11,5.1735832516773583e-11
111,2.545269635084824e-11,9.090248696731513e-12,6.466979064596698e-11,7.39083321668194e-12
112,1.4544397914770424e-11,3.8179044526272353e-11,0.0,5.543124912511455e-11
113,1.0544688488208556e-10,1.6362447654116724e-11,5.1735832516773583e-11,2.217249965004582e-11
114,0.0,3.090684556888715e-11,0.0,2.7715624562557275e-11
115,6.54497906164669e-11,4.5451243483657566e-11,4.9888124212603096e-11,4.434499930009164e-11
116,7.272198957385212e-12,3.454294504757975e-11,2.4020207954216305e-11,4.434499930009164e-11
117,5.81775916590817e-11,1.818049739346303e-12,2.4020207954216305e-11,0.0
118,5.454149218038908e-12,3.636099478692605e-11,2.0324791345875337e-11,2.956333286672776e-11
119,3.999709426561866e-11,3.454294504757975e-11,5.727895742928504e-11,1.847708304170485e-11
120,0.0,5.090539270169648e-11,0.0,4.619270760426212e-11
121,8.363028800992993e-11,3.454294504757975e-11,7.39083321668194e-11,3.1411041170898246e-11
122,1.4544397914770424e-11,3.272489530823345e-11,0.0,4.804041590843261e-11
123,5.272344244104278e-11,2.908879582954085e-11,5.727895742928504e-11,1.6629374737534367e-11
124,1.6362447654116724e-11,3.8179044526272353e-11,5.1735832516773583e-11,4.249729099592116e-11
125,8.363028800992993e-11,2.545269635084824e-11,4.249729099592116e-11,2.217249965004582e-11
126,0.0,7.999418853123732e-11,3.69541660834097e-11,5.543124912511455e-11
127,9.272053670666145e-11,5.090539270169648e-11,1.237964563794225e-10,8.314687368767184e-11
